title,description
"Commercial Driver License - ""S"" School Bus Endorsement","If you have a New York State Commercial Driver License (CDL), you need an ""S"" (school bus) endorsement to drive school buses."
Commercial Driver License - Bus Driver Part 19-A Application,"If you have a Commercial Driver License (CDL) and want to drive a bus, you need to apply for a Bus Driver License under Article 19-A. This rule does not apply to school bus drivers."
Commercial Driver License - Metal Coil Endorsement,"Commercial drivers in New York State need a Metal Coil Endorsement to transport metal coils. The endorsement is needed if the weight of a single coil is 5000 lbs or more, or if more than one coil weighs 5000 lbs or more when bundled together."
Commuter Van Driver License,A commuter van driver gets a license from the Taxi and Limousine Commission (TLC). The driver can carry passengers for money. The van must have seats for at least 9 but not more than 20 passengers.
Cosmetology License,"People who do nails, hair, waxing and beauty treatments need a cosmetology license from the New York State Department of State (NYSDOS)."
Cytotechnologist Professional License,You need a license to work as a cytotechnologist in New York State. The New York State Education Department (NYSED) issues this license.
Dental Anesthesia / Sedation,Dentists need a certificate from the New York State Education Department (NYSED) to use anesthesia.
Dental Assistant Professional License,Dental assistants need a license from the New York State Education Department (NYSED) to work in New York State. Assistants must be supervised by a licensed dentist.
Dental Hygienist Professional License,Dental hygienists need a license from the New York State Education Department (NYSED) to work in New York State. Hygienists must be supervised by a licensed dentist.
Dentist Professional License,Dentists need a Dentist Professional License to work in New York State. This license comes from the New York State Education Department (NYSED).
Dietician / Nutritionist Professional License,You need a license to work as a dietician or nutritionist in New York State. The New York State Education Department (NYSED) issues these licenses. You must meet certain education and experience requirements to get the license.
Electrician License,"To do electrical work in New York City, you need a license from the Department of Buildings. There are two types of licenses:"
Emergency Medical Technician-Basic,You can become a Basic Emergency Medical Technician (EMT) in New York State. The New York State Department of Health (NYSDOH) gives this certification.
Emergency Medical Technician-Critical Care,"If you are an EMT with a Basic certification, you can get a Critical Care certification. This certification is from the New York State Department of Health (NYSDOH)."
Emergency Medical Technician-Intermediate,"If you are an EMT with a Basic certification, you can get an Intermediate certification. This certification is from the New York State Department of Health (NYSDOH)."
Emergency Medical Technician-Paramedic,"The New York State Department of Health (NYSDOH) offers a Paramedic certificate, also called the Advanced Emergency Medical Technician (AEMT-P) certificate. It is the highest level of certification for pre-hospital emergency care."
Esthetics License,"If you want to perform beauty treatments, you need an Esthetics License from the New York State Department of State (NYSDOS)."
"Euthanize Animals, Certification as a Technician to",This permit lets you get materials for euthanizing an animal. The substance must come from a registered facility and its agent.
Excess Line Broker License (Individual),"You need this license to get insurance from companies not licensed in New York State. You must pay fees to the State, with the amount of fees depending on where you live."
"Funeral Director, Embalmer, and Undertaker Licensing Requirements","Funeral directors, embalmers and undertakers need licenses. These licenses come from the New York State Department of Health (NYSDOH)."
General Contractor,"If you are a general contractor who supervises construction work or demolition, you need to register with the New York City Department of Buildings (DOB)."
Guide License,"If you want to be a wilderness guide, you need a Guide License. The New York State Department of Environmental Conservation (DEC) issues this license."
Hearing Aid Dispenser,Businesses that provide hearing aids must register with the New York State Department of State. Licensed audiologists alone do not meet this rule. A separate registration is needed to sell hearing aids. Businesses need both registrations.
High Pressure Boiler Operating Engineer License,"You need a High Pressure Boiler Operating Engineer License to run high-pressure boilers in New York City. This license is for both stationary and portable boilers. For more details, contact the Department of Buildings."
Hoisting Machine Operator License,You need a Hoisting Machine Operator License to use a crane or other hoisting machine in New York City. The Department of Buildings gives out this license.
Horse Drawn Cab Driver License,The New York City Department of Consumer and Worker Protection (DCWP) offers a license for horse-drawn cabs. You need this license to drive a horse-drawn cab in New York City.
Inspector Certification,You need an Inspector Certificate to inspect motor vehicles. The New York State Department of Motor Vehicles (DMV) gives this certificate.
Landscape Architect License,"If you want to work as a landscape architect in New York State, you need a license. The New York State Education Department (NYSED) issues this license."
Locksmith Apprentice License,You need a Locksmith Apprentice License to learn the trade of locksmithing. You must work under a licensed locksmith. The New York City Department of Consumer and Worker Protection (DCWP) gives this license. You must be employed by a DCWP-licensed locksmith to apply.
Locksmith License,"You need a Locksmith License to fix, service, install, check and open and close locks. The New York City Department of Consumer and Worker Protection (DCWP) gives this license."
Massage Therapy License,"To work as a massage therapist, masseur or masseuse in New York State, you need a Massage Therapy License. The New York State Education Department (NYSED) gives this license."
Master Fire Suppression Piping Contractor License,"You need a Master Fire Suppression Piping Contractor License (Class A, B and C) to work on fire suppression-related plumbing in New York City. This includes:"
Master Plumber License,A master plumber can perform or oversee plumbing work in New York City. The Department of Buildings (DOB) gives this license.
Medallion Agent,A TLC licensed agent helps run a taxicab. They can work for one or more owners. They can be employees or work through contracts.
"Medallion Owner, Individual","Medallion owners have a special license. This license lets you own a car that the Taxi and Limousine Commission (TLC) approves for use as a taxi. A medallion taxi is the only car that can pick up people who hail them on the street, anywhere in the City. The number of medallions in the City is limited by State law. However, you can transfer a medallion by law and resell it."
Medical Physics Professional License,Medical physicists need a license to work in New York State. The New York State Education Department (NYSED) gives out this license.
Medical Specialist Assistant Professional License,"Medical specialist assistants help doctors. In New York State, you need a license to be a medical specialist assistant. The New York State Education Department (NYSED) issues these licenses."
Mental Health Practitioner Professional License,"In New York State, mental health counselors need a license from the New York State Education Department (NYSED)."
Midwifery Professional License,Midwives need a license from the New York State Education Department (NYSED).
Mortgage Banker License,You need this license to make mortgage loans in New York State and act as a mortgage banker. It is for anyone who makes three or more mortgage loans in a year.
Mortgage Guaranty Insurance Agent License,"In New York State, you need a license to be a mortgage guaranty insurance agent. There are different licenses for companies and people."
Mutual Life Insurer License,You need a license to sell mutual life insurance in New York State. Separate licenses are needed if your business is based inside and outside New York State.
Nail Specialty License,A Nail Specialty License lets you work on nail appearance. You get this license from the New York State Department of State (NYSDOS).
Natural Hair Styling License,"If you want to style hair, you need a license from the New York State Department of State (NYSDOS). This license is for people, not businesses. Businesses need a different license."
Notary Public Commission,"To be a notary in New York State, you need a license from the New York State Department of State (NYSDOS)."
Nurse Practitioner,A nurse practitioner is a Registered Nurse with special certification from the New York State Department of Education.
Nurse Registered Professional (RN) License,"To be a Registered Nurse (RN) in New York, you must register with the New York State Education Department."
"Nurse, Licensed Practical (LPN)","Licensed Practical Nurses (LPNs) help care for patients. They work under a Registered Nurse or a doctor. To be an LPN in New York State, you need a license. The New York State Education Department (NYSED) gives this license."
"Nursing Home Administrator, License to Practice",You need a Nursing Home Administrator License to run a nursing home. This license is from the New York State Department of Health (NYSDOH).
Nursing Home Nurse Aide Certification,Nurses need a certificate to work in a nursing home. This certificate comes from the New York State Department of Health (NYSDOH).
Oil-Burning Equipment Installer License,You need an Oil-Burning Equipment Installer License (Class A and B) to get a construction permit for oil-burning equipment installation or to perform such work in New York City. Contact the Department of Buildings for more information.
Ophthalmic Dispensing Professional License,"To get this license, you need to meet certain educational, experience and exam requirements. If you are waiting to take the exam, you can get a limited permit. This permit lets you work under a licensed doctor, optometrist or optician."
Optometry Professional License,"To get this license, you need to meet various requirements. You must have a four-year Doctor of Optometry degree. If you have a license from another state, you can transfer it to New York."
Paratransit Car Driver License,You need a Paratransit Driver's License to drive a Paratransit car. These cars help people in wheelchairs get around New York City.
Pedicab Driver License,The New York City Department of Consumer and Worker Protection (DCWP) offers a license for pedicab drivers.
Pharmacist Professional License,Pharmacists in New York need a license from the New York State Education Department (NYSED).
Physical Therapist Professional License,Physical therapists need a license to work in New York State. The New York State Education Department (NYSED) gives this license.
Physician / Doctor Professional License,"To work as a doctor in New York, you need a license from the New York State Education Department (NYSED)."
Podiatrist Professional License,Podiatrists need a license to work in New York State. The New York State Education Department (NYSED) gives this license.
Press Credential,"The Press Credentials Office (PCO) of the Mayor's Office of Media and Entertainment gives out press credentials, or press cards."
Private Investigator's License,Private investigators need a license in New York State. The New York State Department of State (NYSDOS) gives this license.
Private School Director License,You need a license to be a director of a private school. The New York State Education Department (NYSED) gives this license.
Private School License,Private schools for adults need a license. The New York State Education Department (NYSED) gives this license.
Private School Teacher License or Permit,"To teach in a private school in New York, you need a license. The New York State Education Department (NYSED) gives out these licenses."
Process Server Individual License,"You need a Process Server Individual License if you serve, personally or by substitute service, five or more legal papers in a year. The New York City Department of Consumer and Worker Protection (DCWP) gives this license."
Psychoanalyst Professional License,Psychoanalysts need a license from the New York State Education Department (NYSED). This license lets you work as a psychoanalyst in New York State.
Psychologist Professional License,Psychologists need a license from the New York State Education Department (NYSED). This license lets you work as a psychologist in New York State.
Radiologic Technologist License,"To use radiologic technology on people, you need a Radiologic Technologist License. This license comes from the New York State Department of Health (NYSDOH)."
Real Estate Appraiser,Real estate appraisers in New York State need licenses. These licenses come from the New York State Department of State (NYSDOS).
Real Estate Broker Associate License,This license lets a real estate broker work under another broker. New York accepts broker licenses from other states.
Real Estate Broker License,Real estate brokers need a license to work in New York State. This license comes from the New York State Department of State (NYSDOS).
Real Estate Salesperson License,People who sell real estate in New York need a license. The New York State Department of State (NYSDOS) gives this license.
Respiratory Therapist Professional License,You need a license to work as a respiratory therapist in New York State. The New York State Education Department (NYSED) gives this license.
Respiratory Therapy Technician Professional License,You need a license to work as a respiratory therapy technician in New York State. The New York State Education Department (NYSED) gives this license.
Rigger License,You need a Rigger License to hoist or lower any item on the outside of a building in New York City. The Department of Buildings issues this license.
"Security or Fire Alarm Systems, License to Install, Service or Maintain",You need a license to install or maintain security or fire alarm systems. This license comes from the New York State Department of State (NYSDOS).
Sightseeing Guide License,"You need a Sightseeing Guide license to guide or direct people to any place or point of interest or to describe, explain or lecture about any such place to any person in connection with a sightseeing trip or tour within the City."
Sign Hanger License,You need a Sign Hanger License to get a construction permit or to hang or attach signs in New York City. There are two types of licenses:
Tattoo Artist License - Temporary,"If you want to work as a tattoo artist in New York City for up to seven days, you need a Temporary Tattoo Artist License. You must work under someone with a valid full-term Tattoo Artist License from the Department of Health and Mental Hygiene (DOHMH)."
Tattoo License,You need a Tattoo License to work as a Tattoo Artist in New York City. This license helps stop the spread of diseases.
Ticket Seller Individual License,"You need a Ticket Seller license if you sell tickets in a public space. This includes selling, giving or transferring tickets to another person for sale in a public space. The New York City Department of Consumer and Worker Protection (DCWP) issues this license."
TLC Driver License,The TLC Driver License lets you drive a taxi or for-hire vehicle. This includes:
Tow Truck Driver License,"You need a Tow Truck Driver License to move or remove cars. This includes cars that are disabled, parked illegally, abandoned or in accidents. You need this license if you do this work for money in New York City. The New York City Department of Consumer and Worker Protection (DCWP) gives out this license."
Veterinary Medicine Professional License,Veterinarians need a license to work in New York State. The New York State Education Department (NYSED) gives this license.
Waxing License,You need a license to offer wax or hair removal services. This license comes from the New York State Department of State (NYSDOS).
Welder License,You need a Welder License to do structural welding in New York City. The Department of Buildings issues this license.
Wholesale Tobacco Products Dealer License,You need this license if you sell tobacco products other than cigarettes. The New York State Department of Taxation and Finance gives out this license. You also need this license if you run vending machines for tobacco products.
Working (Rental) Horse License,All working horses need a license from the Department of Health and Mental Hygiene's Office of Veterinary Public Health Services (VPHS).
Adding Chemicals to Water Supply - Permit,You need this permit for your business to chemically treat the drinking water supply within a building. This permit lets you add chemicals only for:
Air Permits,Businesses in New York City may need an Air Permit issued by the Department of Environmental Protection (DEP). You need this permit if you use equipment or do activities that the New York City Air Pollution Control Code (Air Code) regulates.
Air Pollution Control - State Facility Permit,"Businesses that release pollutants into the air need permits from the New York State Department of Environmental Conservation (DEC). If your facility emits pollutants at certain levels, you must get a State Facility Permit."
Air Pollution Control - Title V Facility Permit,"Businesses that release pollutants into the air need permits from the New York State Department of Environmental Conservation (DEC). If your business emits pollutants at high levels, you need a Title V Permit."
Alcoholic Beverage Transportation Permit,"If your business moves alcoholic drinks in, to or from New York State, you need a permit from the New York State Liquor Authority (SLA). The type of permit you need depends on how you move the alcohol and how long you need the permit."
Apartment Information Vendor Permit,"If you give information about apartment rentals, you need a license. This license comes from the New York State Department of State (NYSDOS)."
Armored Car Carrier Permit,Businesses that use armored cars for hire need a permit from the New York State Department of State (NYSDOS).
Armored Car Guard Permit,"If you work as an armed guard for an armored car business, you need to register with the New York State Department of State (NYSDOS)."
Bail Enforcement Agent Permit (Bounty Hunter),"Bail enforcement agents, also called bounty hunters, need a license from the New York State Department of State (NYSDOS)."
Barber Shop Permit,The Department of Health and Mental Hygiene (DOHMH) gives Barber Shop Permits. This permit lets you run a barber shop in New York City. Barbers cut hair and trim or shave mustaches and beards. The shop owner must file the application.
"Building Water Tank Cleaning, Painting and Coating Permit","You need this permit to clean, paint or coat water tanks in buildings. These tanks hold drinking water."
"Campground or Travel Trailer Park, Permit to Operate",You need a permit to run a campground or travel trailer park in New York State. The New York State Department of Health (NYSDOH) issues this permit.
Canopy Permit,"You need a permit from the Department of Transportation (DOT) to install or maintain a canopy on a sidewalk at the entrance to a building or business. A licensed professional must install the canopies. Before installation, you must get approval from the NYCDOT Highway Inspection Quality Assurance Unit."
Caterer's Alcohol Permit,"If you cater events at places without a liquor license, you need a Caterer's Alcohol Permit to serve alcoholic beverages. This permit is for one event only. The New York State Liquor Authority (SLA) issues this permit."
Clinical Laboratory and/or Blood Bank Permit,"In New York State, clinical labs and blood banks need permits. The Wadsworth Center at the New York State (NYS) Department of Health gives these permits."
Construction Permits,"The Department of Buildings reviews construction plans. They make sure the plans follow the Building Code and meet current safety and zoning requirements. After the plans are approved, a contractor may apply for a construction work permit."
Crocodilian Permit,"If you sell products made from alligators, crocodiles or similar animals, you need a Crocodilian Permit from the New York State Department of Environmental Conservation (DEC)."
Daily Over-Dimensional Permit,"If your vehicle is too big or heavy, you need a Daily Over Dimensional Permit to drive in New York City."
Divisible Load Overweight Permit,Vehicles that are too heavy for New York State roads need a permit from the New York State Department of Transportation (NYSDOT).
Domestic Animal Health Permit,"Businesses that buy, deal or sell domestic animals need a Domestic Animal Health Permit. The New York State Department of Agriculture and Markets gives this permit."
Endangered and Threatened Species Licensing and Permitting,Businesses need special licenses to work with endangered species in New York State. This includes both dead and live animals.
Express Lane Permits,"The Express Lane Permit is for ambulettes, commuter vans, shuttles, and other mass transit fleets. This permit allows these vehicles to use the high occupancy vehicle (HOV) lanes leading to the Queens Midtown and Brooklyn Battery Tunnels."
Fill Work Permit (Federal),You need a Fill Work Permit to dump or place fill material in navigable waters. The New York State Department of Environmental Conservation (DEC) and the U.S. Army Corps of Engineers (ACE) give these permits. You must send an application to both the ACE and DEC.
Food Service Establishment Permit,"A food service establishment is a place where food is given to people, whether sold or free, and whether eaten on-site or taken away."
Green Cart Permit,New York City started the Green Cart Permit program. It helps people get fresh fruits and vegetables.
Group Child Care Center-Based Permit,A Group Child Care program provides care to three or more kids under six years old. The care is for five or more hours each week. It is also for more than 30 days in a year. The program usually runs in a place that is not a home.
Highway Work Permit for Non-Utility Work,"If you need to work on a state-managed road and it does not involve utilities, you need a permit from the New York State Department of Transportation (NYSDOT)."
Highway Work Permit for Utility Work,"If you need to work on a state-managed road and utilities are involved, you need a permit from the New York State Department of Transportation (NYSDOT)."
Hotel Beer Permit,This license lets hotels sell beer to customers. They can drink it on-site. The New York State Liquor Authority (SLA) gives the Hotel Beer License.
Hotel Liquor Permit,This license lets hotels sell alcoholic drinks to customers. Customers can drink these on-site. The New York State Liquor Authority (SLA) gives out this license.
Hotel Wine Permit,This license lets hotels sell wine or beer to customers. They can drink it on-site. The New York State Liquor Authority (SLA) gives the Hotel Wine License.
"Industrial Homework, Permit to Distribute",Businesses need a permit to give workers industrial jobs to do at home. This permit is from the New York State Department of Labor (NYSDOL).
Industrial Wastewater Discharge Permit,Businesses that discharge industrial wastewater must follow the Sewer Use Regulations in Title 15 of the Rules of the City of New York (RCNY) Chapter 19.
Land Contour Permit,"If you do land contour work in private or public property whose watershed contains public roadway or sidewalk, you need a Land Contour Permit from the Department of Transportation (DOT)."
Liquidator's Permit,A Liquidator's Permit lets a closing business sell its products to other businesses. The New York State Liquor Authority (SLA) gives this permit.
"Living Animals, Laboratory Permit for the Use of","Labs that use animals for research need a permit. This permit comes from the New York State Department of Health (NYSDOH). Labs must also follow all local, federal and other laws against cruelty to animals."
Marine Hatchery Permit,"If you own, raise or breed marine life, you need a Marine Hatchery Permit to sell your products. This permit is from the New York State Department of Environmental Conservation (DEC). The permit covers fish and shellfish."
Mobile Food Vending Unit Permit (Full-Term),You need a Mobile Food Vendor (MFV) permit to make and sell food from a cart or truck.
Non-Retail Food Processing Establishment Permit,"You need a permit from the NYC Health Department to run a Non-Retail Food Processing Establishment in New York City that processes, prepares, stores or packs food. The food is not sold directly to people."
Non-Tobacco Hookah Establishment Permit,The Smoke-Free Air Act of 2002 says you cannot serve or smoke shisha containing tobacco in NYC restaurants and bars. An amendment to this law also bans serving or smoking non-tobacco shisha unless you have a permit.
OFTB Optional Permit,"You do not need a permit from the Office of Film, Theatre and Broadcasting (OFTB) for all activities."
Permit to Install Sewer House Connection,A Permit to Install Single/Multiple Premises(s) Sewer House Connection lets you connect a new house sewer to a City or private sewer.
Permit to Manufacture and / or Wholesale Alcoholic Beverages,Businesses need a permit to make or wholesale alcohol in New York State. The New York State Liquor Authority (SLA) gives these permits.
Permit to Manufacture Frozen Desserts - Wholesale,"Since January 20, 2012, the NYC Department of Health and Mental Hygiene does not issue a permit for Manufacturing Frozen Desserts - Wholesale. This change is due to updates in the NYC Health Code."
Permit to Receive And/Or Process Milk and Milk Products (Part 2 Permit),"You need a Permit to Receive And/Or Process Milk and Milk Products to pasteurize milk or manufacture dairy products in New York State. This permit is also called a ""Part 2 Permit."" The New York State Department of Agriculture and Markets gives this permit."
Permit to Use a Hydrant,â˜' Approved by SBS/OTI
Permits for Movie Premieres and Screenings,"The Office of Film, Theatre and Broadcasting (OFTB) gives permits. These permits are for red carpet, film, TV and theatre events. The events must be on public property. This includes City streets, sidewalks or parks."
Pesticide Commercial (Sale of Restricted Pesticides) Permit,You need a Commercial Pesticide Permit to sell or distribute restricted pesticides. The New York State Department of Environmental Conservation (DEC) issues this permit.
Pesticide Use of Chemicals for the Control or Elimination of Aquatic Insects Permit,This permit lets you use chemicals to control or get rid of biting aquatic insects. These insects include mosquitoes and black flies. You need this permit to use chemicals in any waters in New York State. The State Department of Environmental Conservation gives out this permit.
Pesticide Use of Chemicals for the Control or Elimination of Aquatic Vegetation Permit,This permit lets you use chemicals to control or remove aquatic vegetation in New York State. The State Department of Environmental Conservation gives this permit.
Regulated Medical Waste (RMW) Facility Permit,Businesses need a permit to build a regulated medical waste (RMW) facility. This permit comes from the New York State Department of Environmental Conservation (DEC).
Required Motion Picture & Television Permit,"This permit lets you film in public locations and park production vehicles in public places. You can use it in 300 square miles of public settings in the City. This includes 27,000 acres of City parks."
Restricted Area Mobile Food Vending Permit,This permit lets you sell food from a mobile unit on private property. The property must be in a commercially zoned area. You can also sell food on property under the jurisdiction of the NYC Department of Parks & Recreation. This permit is exempt from the statutory limits which apply to public street vending.
Scavenger Waste Permits,"If your business will transport scavenger waste that will need to be discharged into the New York City sewer system, you need a Scavenger Waste Discharge Permit from the New York City Department of Environmental Protection (DEP)."
Shelter for Homeless Animals Permit,"An Animal Shelter or Shelter for Homeless Animals is a place for homeless, stray, abandoned or unwanted animals. These animals are received, harbored, maintained, made available for adoption, returned to their owners or disposed of in other lawful ways."
"Shows, Permit to Operate",This permit lets a promoter run events like:
Sidewalk and Roadways Construction Permits (general),"A licensed professional, like a contractor or engineer, usually handles this permit. Property owners are required to maintain sidewalks, or provide sidewalks in the case of new construction, for public use."
Sidewalk Crossing Permit,You need a permit from the Department of Transportation (DOT) to drive a vehicle or motorized equipment across a sidewalk without an approved driveway or dropped curb cut. This is needed to deliver or remove construction material or equipment.
Small Animal Boarding Establishment Permit,"A small animal boarding place is where animals stay for a fee. This includes places where animals are sheltered, harbored, maintained, groomed, fed or given water. If you run such an establishment, you need a permit from the Department of Health and Mental Hygiene (DOHMH)."
Small Animal Grooming Establishment Permit,"A place where owners bring their pets for bathing, dipping, clipping, combing or cleaning for the purpose of improvement of the animal's appearance and/or wellbeing for a fee needs a permit. This permit is from the Department of Health and Mental Hygiene (DOHMH)."
Small Animal Training Establishment Permit,"If you train small animals for money, you need a permit from the Department of Health and Mental Hygiene (DOHMH)."
Special Event Permit,Businesses need a Special Event Permit to sell alcohol in ways not covered by their license. These include:
Special Hauling Permit,Big vehicles need a Special Hauling Permit to drive on the New York State Thruway. You must get the permit before using the Thruway.
Special Hauling Trip and Annual Oversize/Overweight Loads Permit,You need a Special Hauling Permit to move very heavy items. This permit comes from the New York State Department of Transportation (NYSDOT).
Special Theatrical Rifle / Shotgun Permit,"You need a Special Theatrical Rifle / Shotgun Permit to use rifles or shotguns in TV, movie, stage, theater or similar productions. Professional photographers also need this permit for photo sessions."
Street Activity Permit,The Street Activity Permit Office (SAPO) in New York City gives permits for events. These events include:
Street Tree Planting Permit,"To plant a tree in New York City, you need a Tree Planting Permit. You also need to hire a landscape contractor."
Tandem Trailer Permit,"This permit lets you drive long combination vehicles (LCV) on the New York State Thruway. These vehicles are also called ""tandem trailers."""
Tanning Indoor Facility Permit,"You need a permit to run a place where ultraviolet (UV) radiation devices (tanning machines) are used, offered or made available for use and for which a fee is charged either directly or indirectly. This rule is from the NYC Department of Health and Mental Hygiene (DoHMH)."
Temporary Food Service Establishment Permit,"You need a permit to make and serve food at a temporary special event. This includes food from booths, stands, kiosks, vehicles or carts."
"Temporary Residence, Permit to Operate","If you run a hotel, motel, guesthouse or any place that gives shelter to more than 10 people for over 60 hours a year, you need a Permit to Operate a Temporary Residence."
Temporary Street Fair Vendor Permit,"As of August 30, 2024, you do not need a temporary vendor permit from the Department of Consumer and Worker Protection (DCWP) to be a street fair vendor."
Tree Work Permit,"You need a Tree Work Permit to work on or within 50 feet of a street tree. This rule is for everyone. It includes people, businesses and contractors. It applies to trees on New York City property."
Warehouse Permit,"The New York State Liquor Authority (SLA) gives out Warehouse Permits. These permits let businesses store alcohol in a different place from where they sell it. To get a Warehouse Permit, you need:"
Waste Transporter Permit,A Waste Transporter Permit lets a business move waste by vehicle in New York State. The State Environmental Conservation Department gives this permit.
Waterfront Construction Work Permits,You need a permit to build or fix any structure on City-owned waterfront property. This includes:
Well Water Permit,"You need a permit from the Department of Health and Mental Hygiene to install, drill, replace or use a water well in New York City. This includes water well pumps and well pumping equipment. The permit is for both potable (drinking) and non-potable (not for drinking) wells. You can use one application for both."
Wetlands Permit,"You need a Wetlands Permit to build, dredge or clear land in or near wetlands. The New York State Department of Environmental Conservation (DEC) gives this permit."
Wine and/or Liquor Auction Permit,This permit lets businesses hold up to 12 wine or liquor auctions each year. The New York State Liquor Authority (SLA) gives this permit.
Air Facility Registration,"Businesses that release pollutants into the air need permits from the New York State Department of Environmental Conservation (DEC). If your business emits low levels of pollutants, you must register as an Air Facility."
Alcohol Dealer Registration,"All stores, restaurants and bars that sell beer, wine or liquor must register with the United States Department of the Treasury's Alcohol and Tobacco Tax and Trade Bureau."
Apple Storage (Controlled Atmosphere Refrigerated Facility Registration),"In New York State, apples labeled ""controlled atmosphere"" must be stored in special conditions. These rules come from the New York State Department of Agriculture and Markets."
Athlete Agent Registration,"If you want to recruit student athletes, you must register with the New York State Department of State (NYSDOS)."
Beekeeper Registration,â˜' Approved by agency
Chain Store (Cigarette) Registration,Chain stores that sell cigarettes can register with the New York State Department of Taxation and Finance (DTF). Registering lets stores sell cigarettes at lower prices.
Cigarette and Tobacco Product Sales as a Retail Dealer Registration,"If you sell cigarettes, you must register your business with the New York State Department of Taxation and Finance (DTF)."
Cigarette and Tobacco Product Sales Vending Machine Registration,"If your business sells cigarettes through vending machines, you must register with the New York State Department of Taxation and Finance (DTF). Each machine needs its own registration. You must register every year."
Collateral Loan Broker's Registration Statement,"Collateral loan brokers, also known as pawn shops, must register with the New York State Comptroller."
Commercial Vehicle Registration,"If you use a vehicle for business, you need to register it in New York State with the New York State Department of Motor Vehicles (DMV)."
Controlled Substances Registration,Businesses that handle controlled substances must register with the U.S. Drug Enforcement Administration (DEA). Controlled substances include drugs and medicines for treating animals or humans.
Cooling Tower Registration,"Building owners and property managers must register cooling towers, fluid coolers and evaporative condensers with the City. If you have any of this equipment, you need to register through the NYC Health Department at Cooling Tower Registration. This is required by Local Law 77 of 2015, effective August 18, 2015."
"Dealer Registration - Motor Vehicles, Motorcycles or Trailers, Official Business Certificate","This registration lets a business buy, sell or deal motor vehicles, motorcycles or trailers over 1,000 pounds. Businesses must register with the New York State Department of Motor Vehicles (DMV)."
Deposit Initiator Registration (Bottle Deposits),"In New York State, businesses that sell bottled drinks must collect a $0.05 deposit on each bottle. The New York State Department of Taxation and Finance (DTF) enforces this rule."
Drugs or Devices Wholesaler Registration,"If you want to sell drugs or medical devices in New York State, you need to register with New York State. Medical devices include things like:"
Electronic Cigarette Retail Store Registration,"All stores that sell electronic cigarettes must register with the Department of Health and Mental Hygiene (DOHMH). This is required by the Smoke Free Air Act. Once you register, you can sell electronic cigarettes in your store. You only need to register one time. There is no fee to register."
Family Day Care Registration,Family Day Care offers child care in a family home. This care is for more than three hours per day per child. It can include:
Fleet Registration,"If you run a business with big trucks or other large commercial vehicles (that is, weighing over 10,000 pounds), you need to register them with the U.S. Department of Transportation (USDOT)."
Fund Raising Professional Registration,"If you raise money for charities and get paid for it, you need to register with the New York State Attorney General."
Guard Dog Registration,You need to register all guard or attack dogs. This is for both businesses and individuals. Guard dogs are trained to:
Halal Certifiers and Products Certified Registration,"If you run a business that makes or sells Halal food, you need to register with the New York State Department of Agriculture and Markets."
Hearing Aid Business Registration,"If you sell hearing aids or hearing aid services, you must register with the New York State Department of State."
"Itinerant Vehicle Collector, Official Business Registration","If you buy and sell unusable vehicles for scrap, you must register with the New York State DMV."
Kosher Food Registration,"If you have a business that makes or sells kosher food, you need to register with the New York State Department of Agriculture and Markets."
"Limited Liability Partnership (Foreign), Notice of Registration",Limited liability partnerships (LLPs) from outside New York State can register with the New York State Department of State (NYSDOS).
Limited Service Laboratory Registration,Labs that only do certain clinical tests can register as Limited Service Laboratories. They register with the New York State Department of Health (NYSDOH).
Market Business Registration,You need Market Business Registration if you provide goods or services to wholesalers or retail purchasers at a New York City public wholesale market. A market business includes services like security within a market. Market Business Registrations expire every three years.
"Mobile Lasers and Laser Installation, Registration of",You must register all high- and low-intensity lasers with the New York State Department of Labor. A certified person must make sure the lasers are safe.
Money Services Business Registration,Money services businesses (MSBs) must register with the Financial Crimes Enforcement Network (FinCEN). FinCEN is part of the U.S. Treasury Department.
Mortgage Banker Branch Registration,"If a business wants to offer loans as a mortgage banker, it must register with the New York State Department of Financial Services (DFS)."
Mortgage Broker Registration,"If you work with mortgage loans in New York, you need to register with the New York State Department of Financial Services (DFS). This rule is for businesses that:"
Newsrack Registration Form,"The Department of Transportation (DOT) manages newsracks on City sidewalks. A newsrack is a box where you can get newspapers or other written material. These boxes can be self-service or coin-operated. If you own a newsrack, you must register it with DOT before placing it on the sidewalk."
Pesticide Business and Agency Registration,Businesses that use pesticides must register with the New York State Department of Environmental Conservation (DEC).
Pet Food and Specialty Pet Food Registration,"If you make or sell pet food in New York State, you need to register each brand or type. This helps keep pets, people and the pet industry safe. It also makes sure labels are correct and complete."
Petroleum Bulk Storage Registration,Businesses that store petroleum or petroleum products must register with the New York State Department of Environmental Conservation (DEC).
Pharmacy Registration,Pharmacies must register with the New York State Education Department (NYSED). This must happen before a pharmacy can give out drugs and devices.
Professional Employer Organization Registration,You must register your professional employer organization with the New York State Department of Labor (NYSDOL).
Registration for Demolition Form AR299/300,"If you want to demolish a building, structure, facility or installation, you must fill out the Registration for Demolition Form AR 299/300. You need to send it to the New York City Department of Environmental Protection (DEP). Do this 10 days before you start the demolition."
Registration for Funeral Directors in NYC,"Funeral directors in New York City need a license from the New York State Bureau of Funeral Directing. They also need to register with the New York City Department of Health and Mental Hygiene (DOHMH), Office of Vital Records, Burial Desk."
